price,rooms,total_area_m2,floor,address,title,url
9 800 000 ₽245 000 ₽/м²,1,40 м²,13/16,Москва,"1-комн. квартира, 40 м², 13/16 этаж",https://www.cian.ru/cat.php?id_user=4367&deal_type=sale&flat=yes&engine_version=2
24 700 000 ₽418 644 ₽/м²,2,59 м²,5/19,Москва,"2-комн. апартаменты, 59 м², 5/19 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽237 718 ₽/м²,4,63.1 м²,5/9,Москва,4-комнатная по цене 3-комнатной,https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
21 021 000 ₽356 288 ₽/м²,2,59 м²,5/22,Москва,"2-комн. квартира, 59 м², 5/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽450 928 ₽/м²,2,37.7 м²,2/9,Москва,"2-комн. квартира, 37,7 м², 2/9 этаж",https://www.cian.ru/cat.php?id_user=52316761&deal_type=sale&flat=yes&engine_version=2
21 021 000 ₽356 288 ₽/м²,2,59 м²,5/22,Москва,"2-комн. квартира, 59 м², 5/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽333 333 ₽/м²,2,45 м²,10/21,Москва,"2-комн. апартаменты, 45 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=48341215&deal_type=sale&flat=yes&engine_version=2
24 500 000 ₽680 556 ₽/м²,1,36 м²,3/20,Москва,"1-комн. квартира, 36 м², 3/20 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
15 785 000 ₽308 904 ₽/м²,2,51.1 м²,5/17,Москва,"2-комн. апартаменты, 51,1 м², 5/17 этаж",https://www.cian.ru/cat.php?id_user=96475243&deal_type=sale&flat=yes&engine_version=2
17 300 000 ₽265 337 ₽/м²,3,65.2 м²,3/5,Москва,"3-комн. квартира, 65,2 м², 3/5 этаж",https://www.cian.ru/cat.php?id_user=32261&deal_type=sale&flat=yes&engine_version=2
15 800 000 ₽355 056 ₽/м²,2,44.5 м²,1/12,Москва,"2-комн. квартира, 44,5 м², 1/12 этаж",https://www.cian.ru/cat.php?id_user=12323908&deal_type=sale&flat=yes&engine_version=2
13 800 000 ₽313 636 ₽/м²,2,44 м²,1/9,Москва,"2-комн. квартира, 44 м², 1/9 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
16 500 000 ₽366 667 ₽/м²,2,45 м²,3/5,Москва,"2-комн. квартира, 45 м², 3/5 этаж",https://www.cian.ru/cat.php?id_user=14147214&deal_type=sale&flat=yes&engine_version=2
